prize_alias,woman,man,non-binary
Women's Prize for Fiction,100.0,0.0,0.0
Costa Children's Book Award,70.96774193548387,29.03225806451613,0.0
Ted Hughes Award for New Work in Poetry,50.0,30.0,20.0
Costa First Novel Award,48.38709677419355,51.61290322580645,0.0
Costa Novel Award,48.38709677419355,51.61290322580645,0.0
Costa Book of the Year,45.16129032258064,54.83870967741935,0.0
Costa Biography Award,43.75,56.25,0.0
James Tait Black Prize for Drama,37.5,62.5,0.0
Baillie Gifford Prize for Non-Fiction,33.33333333333333,66.66666666666666,0.0
TS Eliot Prize,33.33333333333333,66.66666666666666,0.0
Booker Prize,32.35294117647059,67.64705882352942,0.0
Costa Poetry Award,32.25806451612903,64.51612903225806,3.225806451612903
Gold Dagger,31.25,68.75,0.0
James Tait Black Prize for Fiction,30.303030303030305,63.63636363636363,6.0606060606060606
BSFA Award for Best Novel,21.21212121212121,78.78787878787878,0.0
